,ID,Amount_Requested,Amount_Funded_By_Investors,Interest_Rate,Loan_Length,Loan_Purpose,Debt_To_Income_Ratio,Home_Ownership,Monthly_Income,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length
0,81174.0,20000,20000.0,0.09,36,debt_consolidation,0.15,MORTGAGE,6541.67,14,14272,2,1
1,99592.0,19200,19200.0,0.12,36,debt_consolidation,0.28,MORTGAGE,4583.33,12,11140,1,2
2,80059.0,35000,35000.0,0.22,60,debt_consolidation,0.24,MORTGAGE,11500.0,14,21977,1,2
3,15825.0,10000,9975.0,0.1,36,debt_consolidation,0.14,MORTGAGE,3833.33,10,9346,0,5
4,33182.0,12000,12000.0,0.12,36,credit_card,0.19,RENT,3195.0,11,14469,0,9
5,62403.0,6000,6000.0,0.15,36,other,0.2,OWN,4891.67,17,10391,2,3
6,48808.0,10000,10000.0,0.08,36,debt_consolidation,0.26,RENT,2916.67,10,15957,0,10
7,22090.0,33500,33450.0,0.17,60,credit_card,0.15,MORTGAGE,13863.42,12,27874,0,10
8,76404.0,14675,14675.0,0.14,36,credit_card,0.27,RENT,3150.0,9,7246,1,8
9,15867.0,1000,7000.0,0.07,36,credit_card,0.07,RENT,5000.0,8,7612,0,3
10,94971.0,2000,2000.0,0.2,36,other,0.1,RENT,3575.0,10,12036,0,6
11,36911.0,10625,10625.0,0.14,36,debt_consolidation,0.13,MORTGAGE,4250.0,14,10767,0,1
12,41200.0,28000,27975.0,0.22,60,debt_consolidation,0.13,MORTGAGE,14166.67,12,10311,0,1
13,83869.0,35000,34950.0,0.09,36,debt_consolidation,0.2,RENT,9166.67,19,21536,0,1
14,53853.0,9600,9600.0,0.08,36,debt_consolidation,0.03,RENT,11250.0,13,4606,0,1
15,21399.0,25000,24975.0,0.16,60,debt_consolidation,0.22,RENT,5416.67,6,13929,0,9
16,62127.0,10000,10000.0,0.12,36,debt_consolidation,0.18,RENT,9000.0,18,20317,0,7
17,23446.0,14000,13900.25,0.1,60,debt_consolidation,0.12,RENT,4333.33,6,7419,0,9
18,44987.0,10000,10000.0,0.1,36,credit_card,0.07,RENT,2733.33,7,6112,2,3
19,17977.0,5200,5175.0,0.1,60,debt_consolidation,0.1,MORTGAGE,3750.0,10,16094,0,1
20,86099.0,22000,21975.0,0.22,36,debt_consolidation,0.11,MORTGAGE,6666.67,9,23124,0,10
21,99483.0,30000,30000.0,0.19,60,credit_card,0.21,MORTGAGE,6250.0,12,34927,0,6
22,28798.0,6500,6500.0,0.18,60,other,0.2,RENT,4100.0,11,11697,1,2
23,24168.0,17400,17400.0,0.12,36,credit_card,0.12,RENT,6833.33,7,26587,0,7
24,10356.0,4000,4000.0,0.17,60,other,0.14,MORTGAGE,4500.0,5,20804,0,3
25,46027.0,7200,7200.0,0.08,36,debt_consolidation,0.25,RENT,5416.67,8,12017,0,7
26,2238.0,8000,8000.0,0.14,36,debt_consolidation,0.25,RENT,2964.17,9,8928,2,6
27,65278.0,8000,8000.0,0.15,36,debt_consolidation,0.15,MORTGAGE,2916.67,4,7152,1,5
28,4227.0,3000,212.0,0.09,36,other,0.04,MORTGAGE,4167.0,4,7074,0,5
29,50182.0,14500,14500.0,0.08,36,debt_consolidation,0.05,MORTGAGE,3958.33,4,9598,0,4
30,87023.0,23850,23850.0,0.21,60,debt_consolidation,0.29,MORTGAGE,5833.33,19,25968,3,9
31,46120.0,14000,14000.0,0.12,36,debt_consolidation,0.15,MORTGAGE,10583.33,9,35457,0,2
32,30756.0,35000,34975.0,0.16,60,debt_consolidation,0.07,MORTGAGE,10416.67,7,31414,0,8
33,94582.0,16000,16000.0,0.16,60,other,0.12,RENT,5250.0,14,154,1,3
34,457.0,17350,7019.25,0.14,36,debt_consolidation,0.19,OWN,3666.67,8,18966,2,6
35,96536.0,8000,7975.0,0.08,36,other,0.3,MORTGAGE,5583.33,9,6065,1,10
36,39591.0,7200,7200.0,0.08,36,debt_consolidation,0.08,RENT,5666.67,5,8783,0,3
37,78862.0,20125,20125.0,0.08,36,house,0.04,MORTGAGE,3750.0,13,73952,0,1
38,54619.0,12000,11875.0,0.09,36,debt_consolidation,0.12,RENT,5000.0,11,14717,0,4
39,101798.0,1000,1850.0,0.12,36,house,0.21,MORTGAGE,3448.33,10,18749,5,1
40,98029.0,3200,3200.0,0.17,36,house,0.08,MORTGAGE,2500.0,7,6619,1,3
41,95579.0,12725,12725.0,0.11,36,debt_consolidation,0.22,RENT,4416.67,23,4079,0,3
42,4868.0,5500,5500.0,0.19,36,credit_card,0.04,RENT,12000.0,2,0,1,8
43,26822.0,15650,15650.0,0.22,36,house,0.14,RENT,3700.0,5,10605,1,4
44,98445.0,9000,9000.0,0.17,36,credit_card,0.25,RENT,5166.67,14,5852,1,10
45,14958.0,5000,5000.0,0.12,36,major_purchase,0.04,RENT,5577.0,3,1069,0,1
46,14754.0,3000,3000.0,0.1,36,debt_consolidation,0.15,RENT,3083.33,11,3098,0,2
47,34501.0,20000,19975.0,0.24,60,debt_consolidation,0.09,MORTGAGE,11250.0,5,11168,0,1
48,26888.0,5450,5450.0,0.07,60,other,0.02,MORTGAGE,4600.0,14,4326,0,10
49,81759.0,14000,14000.0,0.12,36,debt_consolidation,0.11,MORTGAGE,4500.0,22,18583,0,5
50,10825.0,8800,8799.04,0.1,60,credit_card,0.22,RENT,3750.0,11,18694,1,2
51,16667.0,3000,212.0,0.17,36,other,0.16,RENT,7952.0,4,12578,0,8
52,92046.0,32000,32000.0,0.17,60,debt_consolidation,0.16,RENT,9250.0,15,32566,1,2
53,88279.0,22250,22250.0,0.21,60,debt_consolidation,0.29,RENT,4166.67,15,14107,0,9
54,17218.0,7325,7300.0,0.18,60,debt_consolidation,0.2,OWN,3000.0,6,13583,0,5
55,82406.0,16450,16450.0,0.11,36,debt_consolidation,0.08,RENT,7500.0,5,2928,0,1
56,17143.0,2500,2500.0,0.13,36,debt_consolidation,0.16,RENT,1100.0,6,5019,1,4
57,27486.0,6000,6000.0,0.1,36,other,0.08,MORTGAGE,2625.0,4,5167,0,10
58,96613.0,27575,27575.0,0.14,36,debt_consolidation,0.2,MORTGAGE,5166.67,6,8720,0,10
59,6263.0,1000,1000.0,0.09,36,Personal,0.11,OWN,4583.33,22,17069,1,1
60,29283.0,12000,12000.0,0.11,36,debt_consolidation,0.13,RENT,2708.33,8,12150,1,1
61,99766.0,30000,30000.0,0.1,36,debt_consolidation,0.22,MORTGAGE,8000.0,14,33218,0,10
62,85893.0,13500,13500.0,0.14,36,debt_consolidation,0.32,RENT,4166.67,11,31168,0,1
63,98972.0,9000,9000.0,0.16,36,debt_consolidation,0.23,MORTGAGE,3250.0,9,16480,0,3
64,44054.0,15000,15000.0,0.1,36,debt_consolidation,0.09,MORTGAGE,4250.0,11,11615,1,10
65,51948.0,5300,5300.0,0.08,36,Personal,0.13,RENT,5500.0,8,9996,2,1
66,48676.0,7000,7000.0,0.13,36,debt_consolidation,0.17,RENT,3650.0,12,6444,1,5
67,82294.0,20000,19975.0,0.16,36,debt_consolidation,0.12,RENT,9166.67,10,12421,3,1
68,20328.0,15000,14993.57,0.18,60,debt_consolidation,0.14,RENT,2916.67,4,12786,0,1
69,71489.0,8000,8000.0,0.14,36,house,0.12,RENT,5000.0,10,1275,1,6
70,43203.0,24000,23947.48,0.19,60,debt_consolidation,0.04,RENT,7500.0,6,8568,1,10
